"","City","Year","TotalArrests","Drunkenness","PersonalConditions","Homicides","Dismissed","TotalPolice","ActivePolice","Lodgers","Population"
"243","San Francisco, California",1876,20108,8001,165,45,NA,150,NA,NA,200165
"244","Cleveland, Ohio",1876,8407,3870,825,12,751,162,123,4374,133219
"245","Buffalo, New York",1876,8858,3704,994,1,NA,204,127,5881,140166
"246","Washington, DC",1876,14144,5927,1060,7,4912,238,187,13278,132055
"247","Newark, New Jersey",1876,6270,3578,727,1,1503,177,150,21331,123927
"248","Louisville, Kentucky",1876,5514,2359,236,6,NA,183,136,7560,114556
"249","Detroit, Michigan",1876,3879,1765,516,7,661,155,126,8022,101635
"250","Providence, Rhode Island",1876,7924,4811,599,4,NA,190,NA,10671,90476
"251","Richmond, Virginia",1876,5811,1996,211,5,NA,89,69,1791,58575
"252","New Haven, Connecticut",1876,4756,2505,163,1,NA,79,68,4786,58065
"253","Lowell, Massachusetts",1876,2328,1287,131,1,NA,52,45,2478,52056
"254","New York, New York",1877,79865,50875,7187,NA,NA,NA,NA,96343,1127090
"255","Philadelphia, Pennsylvania",1877,44600,30078,5380,53,NA,1240,1175,136055,787126
"256","Chicago, Illinois",1877,28035,13178,3535,14,6262,516,481,7911,441923
"257","Boston, Massachusetts",1877,26683,14948,1813,12,NA,700,579,62719,319120
"258","St. Louis, Missouri",1877,19427,6260,2080,NA,NA,NA,401,NA,338622
"259","Baltimore, Maryland",1877,26195,6576,886,6,7643,NA,NA,52315,312825
"260","Cincinnati, Ohio",1877,14206,4491,5524,10,NA,338,229,60875,243469
"261","San Francisco, California",1877,21789,8706,224,39,NA,154,NA,NA,208613
"262","Cleveland, Ohio",1877,7845,3653,647,14,720,161,123,4861,139951
"263","Buffalo, New York",1877,8126,3089,1047,8,299,203,128,5876,143908
"264","Washington, DC",1877,12983,4983,1092,7,4450,238,175,14208,135865
"265","Newark, New Jersey",1877,5129,2457,563,2,1143,177,150,16538,127071
"266","Louisville, Kentucky",1877,6034,1733,NA,NA,NA,191,133,NA,116856
"267","Detroit, Michigan",1877,4657,1950,921,4,904,158,131,8139,105311
"268","Providence, Rhode Island",1877,6754,4212,664,1,NA,190,165,11022,94071
"269","Rochester, New York",1877,4201,1689,201,2,NA,87,69,1821,81272
"270","Richmond, Virginia",1877,4715,1454,207,4,NA,84,69,1788,59831
"271","New Haven, Connecticut",1877,3926,1877,191,0,NA,71,66,5568,59269
"272","Lowell, Massachusetts",1877,2291,1157,202,1,NA,51,45,2669,53911
"273","New York, New York",1878,78533,47456,6334,NA,NA,NA,NA,NA,1153490
"274","Philadelphia, Pennsylvania",1878,43593,30552,4827,39,NA,1310,NA,148137,807140
"275","Brooklyn, New York",1878,25373,10813,1749,22,6862,628,494,32805,533860
"276","Chicago, Illinois",1878,27208,12600,3771,10,7404,443,409,10614,462343
"277","Boston, Massachusetts",1878,25817,13976,1626,12,NA,700,579,47291,340348
"278","St. Louis, Missouri",1878,18057,8047,2101,16,NA,NA,401,NA,342587
"279","Baltimore, Maryland",1878,24802,14115,1558,14,6247,NA,NA,24343,319321
"280","Cincinnati, Ohio",1878,14512,3587,6846,10,NA,355,229,43641,247359
"281","San Francisco, California",1878,18627,6500,244,51,NA,172,NA,NA,217062
"282","Cleveland, Ohio",1878,7151,3585,463,3,539,162,123,2331,146683
"283","Buffalo, New York",1878,8126,3274,1241,2,364,205,131,4268,147650
"284","Washington, DC",1878,12333,4843,1163,10,4998,232,174,13151,139674
"285","Newark, New Jersey",1878,4988,2565,400,1,875,177,149,16102,130215
"286","Louisville, Kentucky",1878,4776,2666,242,11,NA,177,134,NA,119157
"287","Detroit, Michigan",1878,4332,2156,520,18,537,165,131,8744,108987
"288","Providence, Rhode Island",1878,6056,3887,555,0,NA,190,NA,4717,97666
"289","Rochester, New York",1878,NA,NA,NA,NA,NA,NA,NA,NA,83970
"290","Richmond, Virginia",1878,4390,1393,339,4,NA,84,66,920,61088
"291","New Haven, Connecticut",1878,4434,2258,191,2,NA,77,74,3925,60474
"292","Lowell, Massachusetts",1878,2708,1596,418,1,NA,52,45,2556,55766
"293","New York, New York",1879,65334,41460,5762,NA,NA,NA,NA,NA,1177990
"294","Philadelphia, Pennsylvania",1879,40714,29137,3711,49,NA,1379,1200,109673,827155
"295","Brooklyn, New York",1879,25706,9916,2869,13,7169,632,499,27366,550274
"296","Chicago, Illinois",1879,27338,14577,2978,14,10479,453,NA,8629,482764
"297","Boston, Massachusetts",1879,24507,14267,NA,NA,NA,700,579,32836,351575
"298","St. Louis, Missouri",1879,14036,6572,1500,10,NA,527,401,NA,346553
"299","Baltimore, Maryland",1879,20787,10457,1119,12,5307,594,500,14619,325817
"300","Cincinnati, Ohio",1879,13329,3301,6322,17,NA,354,240,47658,251249
"301","San Francisco, California",1879,22120,9623,158,35,NA,329,NA,NA,225510
"302","Cleveland, Ohio",1879,6549,3510,427,2,708,162,123,1751,153414
"303","Buffalo, New York",1879,6697,2795,854,4,117,204,135,2947,151392
"304","Washington, DC",1879,12610,4986,1144,14,5342,238,182,12907,143484
"305","Newark, New Jersey",1879,4191,NA,NA,NA,NA,144,127,15522,133359
"306","Louisville, Kentucky",1879,4567,2211,180,4,NA,144,99,NA,121458
"307","Detroit, Michigan",1879,3922,2131,325,5,722,156,128,11099,112664
"308","Providence, Rhode Island",1879,5328,3500,503,1,1195,175,NA,NA,101262
"309","Rochester, New York",1879,NA,NA,NA,NA,NA,NA,NA,NA,86668
"310","Richmond, Virginia",1879,4184,1421,209,2,NA,84,66,290,62344
"311","New Haven, Connecticut",1879,3947,2477,140,3,NA,84,81,1595,61678
